,index,읍면동,경도,위도
0,0,중앙동,129.03673020000002,35.09832607
1,1,중앙동,129.035251,35.10711837
2,2,중앙동,129.0414433,35.10670477
3,3,중앙동,129.0368275,35.10947558
4,4,중앙동,129.0395155,35.11123734
5,5,중앙동,129.0395155,35.11123734
6,6,중앙동,129.0348466,35.10201988
7,7,중앙동,129.0361226,35.09884506
8,8,중앙동,129.0361226,35.09884506
9,9,중앙동,129.0383324,35.11136466
10,10,중앙동,129.0383324,35.11136466
11,11,중앙동,129.03483640000002,35.10208307
12,12,중앙동,129.03483640000002,35.10208307
13,0,동광동,129.0336257,35.10870068
14,1,동광동,129.0361592,35.10000756
15,2,동광동,129.0329472,35.10709295
16,3,동광동,129.0329472,35.10709295
17,4,동광동,129.0335733,35.10194962
18,5,동광동,129.0335733,35.10194962
19,6,동광동,129.0343424,35.09944617
20,7,동광동,129.0343424,35.09944617
21,8,동광동,129.036007,35.09924267
22,9,동광동,129.03570770000002,35.09899283
23,10,동광동,129.03570770000002,35.09899283
24,0,대청동,129.02924299999998,35.10735882
25,1,대청동,129.03302040000003,35.10767824
26,2,대청동,129.028243,35.10284226
27,3,대청동,129.028243,35.10284226
28,4,대청동,129.0313747,35.101553700000004
29,5,대청동,129.0302738,35.1082064
30,6,대청동,129.0302738,35.1082064
31,7,대청동,129.0336245,35.10339143
32,8,대청동,129.0336245,35.10339143
33,9,대청동,129.03128700000002,35.10155444
34,10,대청동,129.03128700000002,35.10155444
35,0,보수동,129.02304640000003,35.10831267
36,1,보수동,129.0278407,35.10574819
37,2,보수동,129.0278407,35.10574819
38,3,보수동,129.0280964,35.10340238
39,4,보수동,129.0227675,35.10793644
40,5,보수동,129.0215493,35.10349378
41,6,보수동,129.0215493,35.10349378
42,7,보수동,129.0262515,35.10322871
43,8,보수동,129.0262515,35.10322871
44,9,보수동,129.027964,35.1033404
45,10,보수동,129.027964,35.1033404
46,11,보수동,129.0214837,35.10438672
47,12,보수동,129.0214837,35.10438672
48,13,보수동,129.0216111,35.10580986
49,14,보수동,129.0216111,35.10580986
50,15,보수동,129.0228571,35.10807991
51,16,보수동,129.0228571,35.10807991
52,0,부평동,129.0277715,35.10285527
53,1,부평동,129.02767749999998,35.09886285
54,2,부평동,129.02155990000003,35.10258327
55,3,부평동,129.02155990000003,35.10258327
56,4,부평동,129.0254771,35.09832261
57,5,부평동,129.0275563,35.09881881
58,6,부평동,129.0275563,35.09881881
59,7,부평동,129.0217635,35.10307732
60,8,부평동,129.0217635,35.10307732
61,9,부평동,129.0218587,35.10191371
62,10,부평동,129.0218587,35.10191371
63,11,부평동,129.027103,35.10290601
64,12,부평동,129.027103,35.10290601
65,13,부평동,129.0244284,35.10303681
66,14,부평동,129.0244284,35.10303681
67,0,광복동,129.03232169999998,35.10185211
68,1,광복동,129.03058470000002,35.10240773
69,2,광복동,129.03058470000002,35.10240773
70,3,광복동,129.0281098,35.09922876
71,4,광복동,129.0281098,35.09922876
72,5,광복동,129.0280789,35.10113099
73,6,광복동,129.0280789,35.10113099
74,7,광복동,129.02838229999998,35.10257967
75,8,광복동,129.02838229999998,35.10257967
76,9,광복동,129.03530700000002,35.09852752
77,10,광복동,129.0343905,35.09803957
78,11,광복동,129.0343905,35.09803957
79,12,광복동,129.0353189,35.09860855
80,13,광복동,129.0353189,35.09860855
81,0,남포동,129.0265019,35.09607846
82,1,남포동,129.0356423,35.09642439
83,2,남포동,129.0356423,35.09642439
84,3,남포동,129.0355259,35.09762425
85,4,남포동,129.0259801,35.09820118
86,5,남포동,129.0259801,35.09820118
87,6,남포동,129.0288757,35.09907804
88,7,남포동,129.031692,35.09888284
89,8,남포동,129.03125409999998,35.09894967
90,9,남포동,129.03125409999998,35.09894967
91,10,남포동,129.0343244,35.09802211
92,11,남포동,129.0343244,35.09802211
93,0,영주1동,129.0348236,35.10887975
94,1,영주1동,129.03345919999998,35.11289361
95,2,영주1동,129.03571540000002,35.11347829
96,3,영주1동,129.03596670000002,35.10905928
97,4,영주1동,129.03596670000002,35.10905928
98,5,영주1동,129.03295970000002,35.11242914
99,6,영주1동,129.03295970000002,35.11242914
100,7,영주1동,129.0374804,35.11251673
101,8,영주1동,129.0374804,35.11251673
102,9,영주1동,129.0376807,35.11187502
103,10,영주1동,129.0372764,35.11027399
104,11,영주1동,129.0375837,35.11114572
105,12,영주1동,129.0375837,35.11114572
106,13,영주1동,129.0375493,35.11102883
107,14,영주1동,129.0375493,35.11102883
108,0,영주2동,129.0330618,35.11530374
109,1,영주2동,129.02945,35.11422574
110,2,영주2동,129.0297131,35.10985171
111,3,영주2동,129.0297131,35.10985171
112,4,영주2동,129.0342214,35.10896602
113,5,영주2동,129.0342214,35.10896602
114,6,영주2동,129.02899720000002,35.11223749
115,7,영주2동,129.02899720000002,35.11223749
116,0,동대신1동,129.0220959,35.10773478
117,1,동대신1동,129.0204305,35.10789303
118,2,동대신1동,129.02570179999998,35.11187782
119,3,동대신1동,129.02570179999998,35.11187782
120,4,동대신1동,129.0190389,35.10888727
121,5,동대신1동,129.0189134,35.11026747
122,6,동대신1동,129.0189134,35.11026747
123,7,동대신1동,129.0211064,35.11106929
124,8,동대신1동,129.0184103,35.1095055
125,9,동대신1동,129.0231652,35.1116739
126,10,동대신1동,129.0231652,35.1116739
127,11,동대신1동,129.0185943,35.10930565
128,12,동대신1동,129.0185943,35.10930565
129,0,동대신2동,129.0182567,35.11038116
130,1,동대신2동,129.0222868,35.11599903
131,2,동대신2동,129.0263624,35.11381925
132,3,동대신2동,129.016967,35.11252831
133,4,동대신2동,129.016967,35.11252831
134,5,동대신2동,129.0247535,35.11587003
135,6,동대신2동,129.0247535,35.11587003
136,7,동대신2동,129.0175953,35.11100868
137,8,동대신2동,129.01800559999998,35.11048242
138,9,동대신2동,129.01705829999997,35.11193262
139,10,동대신2동,129.01705829999997,35.11193262
140,11,동대신2동,129.017865,35.11063684
141,12,동대신2동,129.017865,35.11063684
142,0,동대신3동,129.0200686,35.12021825
143,1,동대신3동,129.0161117,35.1196205
144,2,동대신3동,129.0157659,35.11916369
145,3,동대신3동,129.01568970000002,35.11832602
146,4,동대신3동,129.01568970000002,35.11832602
147,5,동대신3동,129.01570729999997,35.11444083
148,6,동대신3동,129.01659750000002,35.11281084
149,7,동대신3동,129.01659750000002,35.11281084
150,8,동대신3동,129.0216038,35.11577042
151,9,동대신3동,129.0216038,35.11577042
152,10,동대신3동,129.01862240000003,35.11332567
153,11,동대신3동,129.01862240000003,35.11332567
154,12,동대신3동,129.0158679,35.11412399
155,13,동대신3동,129.0158679,35.11412399
156,0,서대신1동,129.0164809,35.11225295
157,1,서대신1동,129.0089709,35.1081512
158,2,서대신1동,129.0089709,35.1081512
159,3,서대신1동,129.0197045,35.10772787
160,4,서대신1동,129.0197045,35.10772787
161,5,서대신1동,129.01100490000002,35.11208241
162,6,서대신1동,129.01625049999998,35.11224587
163,7,서대신1동,129.01625049999998,35.11224587
164,0,서대신3동,129.0088445,35.11480462
165,1,서대신3동,129.0088445,35.11480462
166,2,서대신3동,129.0090115,35.11233338
167,3,서대신3동,129.0090115,35.11233338
168,4,서대신3동,129.0129361,35.11123699
169,5,서대신3동,129.0129361,35.11123699
170,6,서대신3동,129.01611770000002,35.11304021
171,7,서대신3동,129.01611770000002,35.11304021
172,8,서대신3동,129.0129752,35.11616734
173,9,서대신3동,129.0129752,35.11616734
174,0,서대신4동,129.0103872,35.13135052
175,1,서대신4동,129.0099278,35.11724741
176,2,서대신4동,129.0153434,35.11782414
177,3,서대신4동,129.0107651,35.13086061
178,4,서대신4동,129.0107651,35.13086061
179,5,서대신4동,129.0093801,35.11820746
180,6,서대신4동,129.0093801,35.11820746
181,7,서대신4동,129.0132799,35.11685888
182,8,서대신4동,129.0132799,35.11685888
183,0,부민동,129.0211477,35.10207294
184,1,부민동,129.01691670000002,35.10759805
185,2,부민동,129.01691670000002,35.10759805
186,3,부민동,129.0165721,35.10193111
187,4,부민동,129.02188370000002,35.10743009
188,5,부민동,129.02188370000002,35.10743009
