,구군,읍면동,년월,총 유동인구
0,중구,중앙동,2019-08,124902
1,중구,동광동,2019-08,29581
2,중구,대청동,2019-08,50901
3,중구,보수동,2019-08,54940
4,중구,부평동,2019-08,68784
5,중구,광복동,2019-08,58457
6,중구,남포동,2019-08,100889
7,중구,영주1동,2019-08,43571
8,중구,영주2동,2019-08,44175
9,서구,동대신1동,2019-08,38220
10,서구,동대신2동,2019-08,44704
11,서구,동대신3동,2019-08,52977
12,서구,서대신1동,2019-08,89612
13,서구,서대신3동,2019-08,52661
14,서구,서대신4동,2019-08,44887
15,서구,부민동,2019-08,49719
16,서구,아미동,2019-08,72199
17,서구,초장동,2019-08,20257
18,서구,충무동,2019-08,77431
19,서구,남부민1동,2019-08,33971
20,서구,남부민2동,2019-08,52598
21,서구,암남동,2019-08,132455
22,동구,초량1동,2019-08,55627
23,동구,초량2동,2019-08,64112
24,동구,초량3동,2019-08,119202
25,동구,초량6동,2019-08,34812
26,동구,수정1동,2019-08,25848
27,동구,수정2동,2019-08,75841
28,동구,수정4동,2019-08,21486
29,동구,수정5동,2019-08,26782
30,동구,범일1동,2019-08,45456
31,동구,범일2동,2019-08,143220
32,동구,범일5동,2019-08,34083
33,영도구,남항동,2019-08,108739
34,영도구,영선1동,2019-08,35161
35,영도구,영선2동,2019-08,75366
36,영도구,신선동,2019-08,36172
37,영도구,봉래1동,2019-08,59583
38,영도구,봉래2동,2019-08,41135
39,영도구,청학1동,2019-08,51726
40,영도구,청학2동,2019-08,117855
41,영도구,동삼1동,2019-08,202043
42,영도구,동삼2동,2019-08,56242
43,영도구,동삼3동,2019-08,78207
44,부산진구,부전1동,2019-08,211522
45,부산진구,부전2동,2019-08,312227
46,부산진구,연지동,2019-08,127489
47,부산진구,초읍동,2019-08,152019
48,부산진구,양정1동,2019-08,172083
49,부산진구,양정2동,2019-08,106315
50,부산진구,전포1동,2019-08,175628
51,부산진구,전포2동,2019-08,108869
52,부산진구,부암1동,2019-08,172462
53,부산진구,부암3동,2019-08,113545
54,부산진구,당감1동,2019-08,163985
55,부산진구,당감2동,2019-08,63657
56,부산진구,당감4동,2019-08,114787
57,부산진구,가야1동,2019-08,160361
58,부산진구,가야2동,2019-08,111489
59,부산진구,개금1동,2019-08,107904
60,부산진구,개금2동,2019-08,81081
61,부산진구,개금3동,2019-08,154043
62,부산진구,범천1동,2019-08,124534
63,부산진구,범천2동,2019-08,79849
64,동래구,수민동,2019-08,212697
65,동래구,복산동,2019-08,68000
66,동래구,명륜동,2019-08,177375
