,구군,읍면동,년월,총 유동인구,총 인구,예측 유동인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),편의점 수,대형마트 수,슈퍼마켓 수,경쟁업체 수,총 인구_정규화,예측 유동인구_정규화,예측 구매력_정규화,영업이익/매출액(%)_정규화,경쟁업체 수_정규화,구의 동별 평균 인구_정규화,구의 동별 평균 구매력_정규화,등급 점수,등급,경도,위도
0,중구,중앙동,2019-08,124902,2029,153358,4007000.0,4656,9195000,3.8430024462903543,17,3,30,50,-1.4584703037087163,0.6070014864176312,-1.1957269380717654,-1.007792610370988,0.5069831469818539,-2.1777305083588283,-1.784583141687196,1.6291802148987582,좋음,129.03692021200007,35.1024328456
1,중구,동광동,2019-08,29581,2957,80876,5839000.0,4656,9195000,5.740330334303608,4,0,8,12,-1.3619919817370953,-0.7859489251933536,-1.15300915557123,-0.30944787619532627,-0.6903330795880335,-2.1777305083588283,-1.784583141687196,2.1258933937690117,좋음,129.0346046,35.103703814166664
2,중구,대청동,2019-08,50901,6692,99678,13214000.0,4656,9195000,6.798000149242593,3,0,4,7,-0.9736875285431255,-0.42461433675609006,-0.9810420999263352,0.07984600939269157,-0.8478746883472292,-2.1777305083588283,-1.784583141687196,3.9422570484536483,좋음,129.03170630000002,35.10461692714286
3,중구,보수동,2019-08,54940,10777,143696,21280000.0,4656,9195000,5.901105339993843,5,2,9,16,-0.5489957771917554,0.42131832539854597,-0.792962605576271,-0.2502718216397768,-0.564299792580677,-2.1777305083588283,-1.784583141687196,5.2589684074851295,좋음,129.02411601875002,35.105359989375
4,중구,부평동,2019-08,68784,4717,118364,9314000.0,4656,9195000,10.088432005690892,11,0,21,32,-1.1790158538598834,-0.06550902245236138,-1.0719806107080423,1.2909470397584377,-0.060166644551250675,-2.1777305083588283,-1.784583141687196,4.385392057421786,좋음,129.02613486875003,35.100921253749995
5,중구,광복동,2019-08,58457,1119,141229,2210000.0,4656,9195000,11.232621929345276,4,0,167,171,-1.5530772789179568,0.373907814300007,-1.237628605731952,1.7120861655410602,4.31949007895439,-2.1777305083588283,-1.784583141687196,0.8370048830142593,양호,129.0283511169588,35.10113547649115
6,중구,남포동,2019-08,100889,1070,86040,2113000.0,4656,9195000,5.523293793277439,19,3,35,57,-1.5581715006599928,-0.686707790490129,-1.2398904097180612,-0.3893319734601562,0.7275413992447278,-2.1777305083588283,-1.784583141687196,0.5361939582744185,양호,129.0293428649122,35.09761995192982
7,중구,영주1동,2019-08,43571,4923,123380,9721000.0,4656,9195000,1.8148959375535183,2,0,9,11,-1.157599329801528,0.030887865942560107,-1.0624903609931309,-1.7542727046507498,-0.7218414013398726,-2.1777305083588283,-1.784583141687196,2.0177450997443342,좋음,129.03608904545456,35.11163951818182
8,중구,영주2동,2019-08,44175,7626,135056,15058000.0,4656,9195000,5.4593400327845485,5,0,5,10,-0.8765854243173777,0.2552758382111214,-0.9380445066233947,-0.4128712742595073,-0.7533497230917118,-2.1777305083588283,-1.784583141687196,4.28879038579471,좋음,129.03175554000003,35.112627780000004
9,서구,동대신1동,2019-08,38220,4632,157184,10669000.0,8325,19176000,5.517831837505903,1,0,9,10,-1.1878527691266805,0.6805290970633588,-1.0403853076031158,-0.39134234187114636,-0.7533497230917118,-1.4769143349586262,-1.398142345379464,0.9418949820914033,양호,129.02036297,35.109511615
10,서구,동대신2동,2019-08,44704,7921,175595,18245000.0,8325,19176000,6.753987535650153,5,0,9,14,-0.8459161301561405,1.034349494240173,-0.8637314210179329,0.06364639669856025,-0.6273164360843552,-1.4769143349586262,-1.398142345379464,2.5126788795982664,좋음,129.0210771642857,35.11249500571428
11,서구,동대신3동,2019-08,52977,6682,138011,15391000.0,8325,19176000,5.5175891630584095,6,1,5,12,-0.974727165633337,0.312064674974876,-0.9302797568566489,-0.3914316624485735,-0.6903330795880335,-1.4769143349586262,-1.398142345379464,1.0607017819556226,양호,129.017752275,35.116940084166664
12,서구,서대신1동,2019-08,89612,12199,110261,28098000.0,8325,19176000,6.085691590663312,7,2,9,18,-0.4011593829636898,-0.22123150783195647,-0.6339834346763531,-0.18233162165081648,-0.5012831490769987,-1.4769143349586262,-1.398142345379464,2.0325025553954985,좋음,129.01570506111113,35.10974651722222
13,서구,서대신3동,2019-08,52661,8897,140944,20493000.0,8325,19176000,12.347716497629476,8,0,5,13,-0.7444475501515047,0.3684307183684774,-0.8113135307006821,2.122516236584065,-0.6588247578361943,-1.4769143349586262,-1.398142345379464,4.186865091466044,좋음,129.01319334615386,35.11402363384615
14,서구,서대신4동,2019-08,44887,8165,152878,18807000.0,8325,19176000,3.7040008557980313,3,0,2,5,-0.8205489851549815,0.5977769037961076,-0.8506269484386202,-1.0589545784080474,-0.9108913318509075,-1.4769143349586262,-1.398142345379464,1.2443723532739592,양호,129.01000026,35.124021708
15,서구,부민동,2019-08,49719,8007,265668,18443000.0,8325,19176000,5.337721047733013,8,0,8,16,-0.8369752511803221,2.7653616410495356,-0.8591145427782462,-0.4576352701524169,-0.564299792580677,-1.4769143349586262,-1.398142345379464,3.6945532564457437,좋음,129.01945763125,35.104750240625
16,서구,아미동,2019-08,72199,7490,249393,17252000.0,8325,19176000,5.203898070377512,3,0,6,9,-0.8907244887442533,2.4525906365385017,-0.8868857649169676,-0.5068911589939507,-0.7848580448435509,-1.4769143349586262,-1.398142345379464,3.3733446262941893,좋음,129.01681692222223,35.10025241333334
