,행정동명,편의점수,대형마트수,슈퍼마켓수,합계
0,중앙동,17,3,30,50
1,동광동,4,0,8,12
2,대청동,3,0,4,7
3,보수동,5,2,9,16
4,부평동,11,0,21,32
5,광복동,4,0,167,171
6,남포동,19,3,35,57
7,영주1동,2,0,9,11
8,영주2동,5,0,5,10
9,동대신1동,1,0,9,10
10,동대신2동,5,0,9,14
11,동대신3동,6,1,5,12
12,서대신1동,7,2,9,18
13,서대신3동,8,0,5,13
14,서대신4동,3,0,2,5
15,부민동,8,0,8,16
16,아미동,3,0,6,9
17,초장동,2,0,5,7
18,충무동,12,0,19,31
19,남부민1동,1,0,9,10
20,남부민2동,1,0,5,6
21,암남동,12,0,29,41
22,초량1동,6,0,13,19
23,초량2동,7,2,21,30
24,초량3동,11,0,16,27
25,초량6동,3,0,11,14
26,수정1동,2,0,5,7
27,수정2동,6,0,13,19
28,수정4동,0,0,8,8
29,수정5동,2,0,3,5
30,범일1동,3,0,36,39
31,범일2동,11,1,263,275
32,범일5동,1,0,6,7
33,남항동,11,0,24,35
34,영선1동,6,0,21,27
35,영선2동,4,0,8,12
36,신선동,0,0,5,5
37,봉래1동,3,2,14,19
38,봉래2동,1,2,4,7
39,청학1동,4,0,18,22
40,청학2동,3,0,21,24
41,동삼1동,12,2,26,40
42,동삼2동,3,0,10,13
43,동삼3동,1,0,7,8
44,부전1동,21,0,188,209
45,부전2동,27,1,94,122
46,연지동,6,0,11,17
47,초읍동,16,0,27,43
48,양정1동,12,0,14,26
49,양정2동,20,0,30,50
50,전포1동,18,6,46,70
51,전포2동,13,1,23,37
52,부암1동,12,7,12,31
53,부암3동,7,0,18,25
54,당감1동,7,0,18,25
55,당감2동,7,1,6,14
56,당감4동,5,1,15,21
57,가야1동,18,0,28,46
58,가야2동,4,1,19,24
59,개금1동,10,1,25,36
60,개금2동,2,1,12,15
61,개금3동,6,0,16,22
62,범천1동,14,0,99,113
63,범천2동,5,2,18,25
64,수민동,9,2,32,43
65,복산동,2,0,14,16
66,명륜동,11,1,16,28
67,온천1동,25,1,28,54
68,온천2동,11,2,16,29
69,온천3동,24,2,21,47
70,사직1동,11,1,14,26
71,사직2동,3,1,20,24
