요일,구군,년,월,읍면동,주중/주말,지역코드,평균 유동인구
일,중구,2019,1,중앙동,주말,26110,"33,213명"
일,중구,2019,1,동광동,주말,26110,"4,692명"
일,중구,2019,1,대청동,주말,26110,"3,342명"
일,중구,2019,1,보수동,주말,26110,"3,552명"
일,중구,2019,1,부평동,주말,26110,"10,458명"
일,중구,2019,1,광복동,주말,26110,"20,238명"
일,중구,2019,1,남포동,주말,26110,"38,379명"
일,중구,2019,1,영주1동,주말,26110,"3,946명"
일,중구,2019,1,영주2동,주말,26110,"2,717명"
일,중구,2019,2,중앙동,주말,26110,"36,631명"
일,중구,2019,2,동광동,주말,26110,"5,160명"
일,중구,2019,2,대청동,주말,26110,"3,597명"
일,중구,2019,2,보수동,주말,26110,"3,762명"
일,중구,2019,2,부평동,주말,26110,"11,241명"
일,중구,2019,2,광복동,주말,26110,"21,921명"
일,중구,2019,2,남포동,주말,26110,"39,278명"
일,중구,2019,2,영주1동,주말,26110,"4,540명"
일,중구,2019,2,영주2동,주말,26110,"3,168명"
일,중구,2019,3,중앙동,주말,26110,"98,634명"
일,중구,2019,3,동광동,주말,26110,"21,540명"
일,중구,2019,3,대청동,주말,26110,"5,121명"
일,중구,2019,3,보수동,주말,26110,"4,703명"
일,중구,2019,3,부평동,주말,26110,"10,157명"
일,중구,2019,3,광복동,주말,26110,"112,254명"
일,중구,2019,3,남포동,주말,26110,"134,977명"
일,중구,2019,3,영주1동,주말,26110,"4,386명"
일,중구,2019,3,영주2동,주말,26110,"3,115명"
일,중구,2019,4,중앙동,주말,26110,"13,108명"
일,중구,2019,4,동광동,주말,26110,"4,195명"
일,중구,2019,4,대청동,주말,26110,"6,393명"
일,중구,2019,4,보수동,주말,26110,"9,521명"
일,중구,2019,4,부평동,주말,26110,"10,155명"
일,중구,2019,4,광복동,주말,26110,"8,290명"
일,중구,2019,4,남포동,주말,26110,"14,412명"
일,중구,2019,4,영주1동,주말,26110,"5,838명"
일,중구,2019,4,영주2동,주말,26110,"6,224명"
일,중구,2019,5,중앙동,주말,26110,"13,227명"
일,중구,2019,5,동광동,주말,26110,"4,226명"
일,중구,2019,5,대청동,주말,26110,"6,441명"
일,중구,2019,5,보수동,주말,26110,"9,446명"
일,중구,2019,5,부평동,주말,26110,"10,725명"
일,중구,2019,5,광복동,주말,26110,"9,028명"
일,중구,2019,5,남포동,주말,26110,"15,542명"
일,중구,2019,5,영주1동,주말,26110,"6,135명"
일,중구,2019,5,영주2동,주말,26110,"6,184명"
일,중구,2019,6,중앙동,주말,26110,"13,101명"
일,중구,2019,6,동광동,주말,26110,"4,021명"
일,중구,2019,6,대청동,주말,26110,"6,732명"
일,중구,2019,6,보수동,주말,26110,"8,174명"
일,중구,2019,6,부평동,주말,26110,"10,454명"
일,중구,2019,6,광복동,주말,26110,"8,912명"
일,중구,2019,6,남포동,주말,26110,"15,317명"
일,중구,2019,6,영주1동,주말,26110,"5,937명"
일,중구,2019,6,영주2동,주말,26110,"6,254명"
일,중구,2019,7,중앙동,주말,26110,"12,248명"
일,중구,2019,7,동광동,주말,26110,"3,931명"
일,중구,2019,7,대청동,주말,26110,"6,542명"
일,중구,2019,7,보수동,주말,26110,"9,031명"
일,중구,2019,7,부평동,주말,26110,"10,410명"
일,중구,2019,7,광복동,주말,26110,"8,624명"
일,중구,2019,7,남포동,주말,26110,"15,138명"
일,중구,2019,7,영주1동,주말,26110,"6,043명"
일,중구,2019,7,영주2동,주말,26110,"6,203명"
일,중구,2019,8,중앙동,주말,26110,"13,584명"
일,중구,2019,8,동광동,주말,26110,"4,011명"
일,중구,2019,8,대청동,주말,26110,"7,538명"
일,중구,2019,8,보수동,주말,26110,"7,598명"
일,중구,2019,8,부평동,주말,26110,"9,657명"
일,중구,2019,8,광복동,주말,26110,"9,123명"
일,중구,2019,8,남포동,주말,26110,"14,968명"
일,중구,2019,8,영주1동,주말,26110,"6,274명"
일,중구,2019,8,영주2동,주말,26110,"6,619명"
일,중구,2019,9,중앙동,주말,26110,"11,302명"
일,중구,2019,9,동광동,주말,26110,"3,910명"
일,중구,2019,9,대청동,주말,26110,"6,538명"
일,중구,2019,9,보수동,주말,26110,"7,340명"
일,중구,2019,9,부평동,주말,26110,"8,626명"
일,중구,2019,9,광복동,주말,26110,"6,401명"
일,중구,2019,9,남포동,주말,26110,"11,450명"
일,중구,2019,9,영주1동,주말,26110,"6,025명"
일,중구,2019,9,영주2동,주말,26110,"7,111명"
일,중구,2019,10,중앙동,주말,26110,"12,081명"
일,중구,2019,10,동광동,주말,26110,"4,065명"
일,중구,2019,10,대청동,주말,26110,"7,048명"
일,중구,2019,10,보수동,주말,26110,"8,239명"
일,중구,2019,10,부평동,주말,26110,"8,909명"
일,중구,2019,10,광복동,주말,26110,"7,744명"
일,중구,2019,10,남포동,주말,26110,"13,942명"
일,중구,2019,10,영주1동,주말,26110,"5,808명"
일,중구,2019,10,영주2동,주말,26110,"6,590명"
일,중구,2019,11,중앙동,주말,26110,"12,248명"
일,중구,2019,11,동광동,주말,26110,"4,110명"
일,중구,2019,11,대청동,주말,26110,"7,064명"
일,중구,2019,11,보수동,주말,26110,"8,810명"
일,중구,2019,11,부평동,주말,26110,"9,088명"
일,중구,2019,11,광복동,주말,26110,"7,520명"
일,중구,2019,11,남포동,주말,26110,"13,202명"
일,중구,2019,11,영주1동,주말,26110,"5,856명"
일,중구,2019,11,영주2동,주말,26110,"6,530명"
일,중구,2019,12,중앙동,주말,26110,"12,829명"
일,중구,2019,12,동광동,주말,26110,"4,348명"
일,중구,2019,12,대청동,주말,26110,"7,182명"
일,중구,2019,12,보수동,주말,26110,"9,507명"
일,중구,2019,12,부평동,주말,26110,"9,623명"
일,중구,2019,12,광복동,주말,26110,"8,557명"
일,중구,2019,12,남포동,주말,26110,"14,504명"
일,중구,2019,12,영주1동,주말,26110,"6,112명"
일,중구,2019,12,영주2동,주말,26110,"6,524명"
일,서구,2019,1,동대신제1동,주말,26140,"2,563명"
일,서구,2019,1,동대신제2동,주말,26140,"2,202명"
일,서구,2019,1,동대신제3동,주말,26140,"4,813명"
일,서구,2019,1,서대신제1동,주말,26140,"10,610명"
일,서구,2019,1,서대신제3동,주말,26140,"4,265명"
일,서구,2019,1,서대신제4동,주말,26140,"6,347명"
일,서구,2019,1,부민동,주말,26140,"6,812명"
일,서구,2019,1,아미동,주말,26140,"3,638명"
일,서구,2019,1,초장동,주말,26140,"1,204명"
일,서구,2019,1,충무동,주말,26140,"11,745명"
일,서구,2019,1,남부민제1동,주말,26140,"5,297명"
일,서구,2019,1,남부민제2동,주말,26140,"4,246명"
일,서구,2019,1,암남동,주말,26140,"16,497명"
일,서구,2019,2,동대신제1동,주말,26140,"2,758명"
일,서구,2019,2,동대신제2동,주말,26140,"2,465명"
일,서구,2019,2,동대신제3동,주말,26140,"5,540명"
일,서구,2019,2,서대신제1동,주말,26140,"11,563명"
일,서구,2019,2,서대신제3동,주말,26140,"4,573명"
일,서구,2019,2,서대신제4동,주말,26140,"7,126명"
일,서구,2019,2,부민동,주말,26140,"7,239명"
일,서구,2019,2,아미동,주말,26140,"4,261명"
일,서구,2019,2,초장동,주말,26140,"1,268명"
일,서구,2019,2,충무동,주말,26140,"12,210명"
일,서구,2019,2,남부민제1동,주말,26140,"5,521명"
일,서구,2019,2,남부민제2동,주말,26140,"4,782명"
일,서구,2019,2,암남동,주말,26140,"18,002명"
일,서구,2019,3,동대신제1동,주말,26140,"2,983명"
일,서구,2019,3,동대신제2동,주말,26140,"2,824명"
일,서구,2019,3,동대신제3동,주말,26140,"5,844명"
일,서구,2019,3,서대신제1동,주말,26140,"11,617명"
일,서구,2019,3,서대신제3동,주말,26140,"4,662명"
일,서구,2019,3,서대신제4동,주말,26140,"7,123명"
일,서구,2019,3,부민동,주말,26140,"7,738명"
일,서구,2019,3,아미동,주말,26140,"5,317명"
일,서구,2019,3,초장동,주말,26140,"1,156명"
일,서구,2019,3,충무동,주말,26140,"15,167명"
일,서구,2019,3,남부민제1동,주말,26140,"4,660명"
일,서구,2019,3,남부민제2동,주말,26140,"4,488명"
일,서구,2019,3,암남동,주말,26140,"16,534명"
일,서구,2019,4,동대신제1동,주말,26140,"6,317명"
일,서구,2019,4,동대신제2동,주말,26140,"7,205명"
일,서구,2019,4,동대신제3동,주말,26140,"7,428명"
일,서구,2019,4,서대신제1동,주말,26140,"12,511명"
일,서구,2019,4,서대신제3동,주말,26140,"8,166명"
일,서구,2019,4,서대신제4동,주말,26140,"6,952명"
일,서구,2019,4,부민동,주말,26140,"7,167명"
일,서구,2019,4,아미동,주말,26140,"8,443명"
일,서구,2019,4,초장동,주말,26140,"3,124명"
일,서구,2019,4,충무동,주말,26140,"11,575명"
일,서구,2019,4,남부민제1동,주말,26140,"4,576명"
일,서구,2019,4,남부민제2동,주말,26140,"6,738명"
일,서구,2019,4,암남동,주말,26140,"14,695명"
일,서구,2019,5,동대신제1동,주말,26140,"6,231명"
일,서구,2019,5,동대신제2동,주말,26140,"6,993명"
일,서구,2019,5,동대신제3동,주말,26140,"6,638명"
일,서구,2019,5,서대신제1동,주말,26140,"12,439명"
일,서구,2019,5,서대신제3동,주말,26140,"8,311명"
일,서구,2019,5,서대신제4동,주말,26140,"7,213명"
일,서구,2019,5,부민동,주말,26140,"6,543명"
일,서구,2019,5,아미동,주말,26140,"8,071명"
일,서구,2019,5,초장동,주말,26140,"3,069명"
일,서구,2019,5,충무동,주말,26140,"11,640명"
일,서구,2019,5,남부민제1동,주말,26140,"5,277명"
일,서구,2019,5,남부민제2동,주말,26140,"6,928명"
일,서구,2019,5,암남동,주말,26140,"15,237명"
일,서구,2019,6,동대신제1동,주말,26140,"6,116명"
일,서구,2019,6,동대신제2동,주말,26140,"7,005명"
일,서구,2019,6,동대신제3동,주말,26140,"8,236명"
일,서구,2019,6,서대신제1동,주말,26140,"13,002명"
일,서구,2019,6,서대신제3동,주말,26140,"8,440명"
일,서구,2019,6,서대신제4동,주말,26140,"7,300명"
일,서구,2019,6,부민동,주말,26140,"7,424명"
일,서구,2019,6,아미동,주말,26140,"9,024명"
일,서구,2019,6,초장동,주말,26140,"3,095명"
일,서구,2019,6,충무동,주말,26140,"11,625명"
일,서구,2019,6,남부민제1동,주말,26140,"5,133명"
일,서구,2019,6,남부민제2동,주말,26140,"7,356명"
일,서구,2019,6,암남동,주말,26140,"15,275명"
일,서구,2019,7,동대신제1동,주말,26140,"6,442명"
일,서구,2019,7,동대신제2동,주말,26140,"7,130명"
일,서구,2019,7,동대신제3동,주말,26140,"7,763명"
일,서구,2019,7,서대신제1동,주말,26140,"12,762명"
일,서구,2019,7,서대신제3동,주말,26140,"8,166명"
일,서구,2019,7,서대신제4동,주말,26140,"6,757명"
일,서구,2019,7,부민동,주말,26140,"6,649명"
일,서구,2019,7,아미동,주말,26140,"8,937명"
일,서구,2019,7,초장동,주말,26140,"3,142명"
일,서구,2019,7,충무동,주말,26140,"11,826명"
일,서구,2019,7,남부민제1동,주말,26140,"5,063명"
일,서구,2019,7,남부민제2동,주말,26140,"7,474명"
일,서구,2019,7,암남동,주말,26140,"15,260명"
일,서구,2019,8,동대신제1동,주말,26140,"5,607명"
일,서구,2019,8,동대신제2동,주말,26140,"6,687명"
일,서구,2019,8,동대신제3동,주말,26140,"6,856명"
일,서구,2019,8,서대신제1동,주말,26140,"12,977명"
일,서구,2019,8,서대신제3동,주말,26140,"7,709명"
일,서구,2019,8,서대신제4동,주말,26140,"6,602명"
일,서구,2019,8,부민동,주말,26140,"6,837명"
일,서구,2019,8,아미동,주말,26140,"8,769명"
일,서구,2019,8,초장동,주말,26140,"2,917명"
일,서구,2019,8,충무동,주말,26140,"10,135명"
일,서구,2019,8,남부민제1동,주말,26140,"4,415명"
일,서구,2019,8,남부민제2동,주말,26140,"7,836명"
일,서구,2019,8,암남동,주말,26140,"18,322명"
일,서구,2019,9,동대신제1동,주말,26140,"5,407명"
일,서구,2019,9,동대신제2동,주말,26140,"6,623명"
일,서구,2019,9,동대신제3동,주말,26140,"9,037명"
일,서구,2019,9,서대신제1동,주말,26140,"13,461명"
일,서구,2019,9,서대신제3동,주말,26140,"7,963명"
일,서구,2019,9,서대신제4동,주말,26140,"7,998명"
일,서구,2019,9,부민동,주말,26140,"6,858명"
일,서구,2019,9,아미동,주말,26140,"9,441명"
일,서구,2019,9,초장동,주말,26140,"3,368명"
일,서구,2019,9,충무동,주말,26140,"12,337명"
일,서구,2019,9,남부민제1동,주말,26140,"5,270명"
일,서구,2019,9,남부민제2동,주말,26140,"7,877명"
일,서구,2019,9,암남동,주말,26140,"19,915명"
일,서구,2019,10,동대신제1동,주말,26140,"6,154명"
일,서구,2019,10,동대신제2동,주말,26140,"6,452명"
