요일,구군,년,월,읍면동,주중/주말,지역코드,평균 유동인구,주중/주말 유동인구
일,중구,2020,01,중앙동,주말,26110,"11,537명","11,537"
일,중구,2020,01,동광동,주말,26110,"3,928명","3,928"
일,중구,2020,01,대청동,주말,26110,"7,753명","7,753"
일,중구,2020,01,보수동,주말,26110,"8,686명","8,686"
일,중구,2020,01,부평동,주말,26110,"10,185명","10,185"
일,중구,2020,01,광복동,주말,26110,"8,582명","8,582"
일,중구,2020,01,남포동,주말,26110,"13,515명","13,515"
일,중구,2020,01,영주1동,주말,26110,"6,121명","6,121"
일,중구,2020,01,영주2동,주말,26110,"6,743명","6,743"
일,중구,2020,02,중앙동,주말,26110,"10,181명","10,181"
일,중구,2020,02,동광동,주말,26110,"3,368명","3,368"
일,중구,2020,02,대청동,주말,26110,"7,447명","7,447"
일,중구,2020,02,보수동,주말,26110,"8,747명","8,747"
일,중구,2020,02,부평동,주말,26110,"9,024명","9,024"
일,중구,2020,02,광복동,주말,26110,"6,854명","6,854"
일,중구,2020,02,남포동,주말,26110,"9,801명","9,801"
일,중구,2020,02,영주1동,주말,26110,"6,061명","6,061"
일,중구,2020,02,영주2동,주말,26110,"6,784명","6,784"
일,중구,2020,03,중앙동,주말,26110,"9,288명","9,288"
일,중구,2020,03,동광동,주말,26110,"2,709명","2,709"
일,중구,2020,03,대청동,주말,26110,"6,881명","6,881"
일,중구,2020,03,보수동,주말,26110,"9,278명","9,278"
일,중구,2020,03,부평동,주말,26110,"8,342명","8,342"
일,중구,2020,03,광복동,주말,26110,"5,100명","5,100"
일,중구,2020,03,남포동,주말,26110,"7,081명","7,081"
일,중구,2020,03,영주1동,주말,26110,"5,652명","5,652"
일,중구,2020,03,영주2동,주말,26110,"6,909명","6,909"
일,중구,2020,04,중앙동,주말,26110,"9,872명","9,872"
일,중구,2020,04,동광동,주말,26110,"2,972명","2,972"
일,중구,2020,04,대청동,주말,26110,"6,672명","6,672"
일,중구,2020,04,보수동,주말,26110,"9,298명","9,298"
일,중구,2020,04,부평동,주말,26110,"9,354명","9,354"
일,중구,2020,04,광복동,주말,26110,"5,180명","5,180"
일,중구,2020,04,남포동,주말,26110,"8,251명","8,251"
일,중구,2020,04,영주1동,주말,26110,"5,784명","5,784"
일,중구,2020,04,영주2동,주말,26110,"6,627명","6,627"
일,중구,2020,05,중앙동,주말,26110,"10,127명","10,127"
일,중구,2020,05,동광동,주말,26110,"3,077명","3,077"
일,중구,2020,05,대청동,주말,26110,"6,501명","6,501"
일,중구,2020,05,보수동,주말,26110,"9,845명","9,845"
일,중구,2020,05,부평동,주말,26110,"9,861명","9,861"
일,중구,2020,05,광복동,주말,26110,"6,390명","6,390"
일,중구,2020,05,남포동,주말,26110,"10,015명","10,015"
일,중구,2020,05,영주1동,주말,26110,"5,734명","5,734"
일,중구,2020,05,영주2동,주말,26110,"6,398명","6,398"
일,중구,2020,06,중앙동,주말,26110,"10,631명","10,631"
일,중구,2020,06,동광동,주말,26110,"3,147명","3,147"
일,중구,2020,06,대청동,주말,26110,"6,347명","6,347"
일,중구,2020,06,보수동,주말,26110,"9,578명","9,578"
일,중구,2020,06,부평동,주말,26110,"10,002명","10,002"
일,중구,2020,06,광복동,주말,26110,"6,608명","6,608"
일,중구,2020,06,남포동,주말,26110,"10,468명","10,468"
일,중구,2020,06,영주1동,주말,26110,"5,665명","5,665"
일,중구,2020,06,영주2동,주말,26110,"6,320명","6,320"
일,중구,2020,07,중앙동,주말,26110,"11,624명","11,624"
일,중구,2020,07,동광동,주말,26110,"3,117명","3,117"
일,중구,2020,07,대청동,주말,26110,"6,037명","6,037"
일,중구,2020,07,보수동,주말,26110,"8,691명","8,691"
일,중구,2020,07,부평동,주말,26110,"11,299명","11,299"
일,중구,2020,07,광복동,주말,26110,"7,524명","7,524"
일,중구,2020,07,남포동,주말,26110,"11,969명","11,969"
일,중구,2020,07,영주1동,주말,26110,"5,229명","5,229"
일,중구,2020,07,영주2동,주말,26110,"6,426명","6,426"
일,서구,2020,01,동대신제1동,주말,26140,"6,871명","6,871"
일,서구,2020,01,동대신제2동,주말,26140,"6,721명","6,721"
일,서구,2020,01,동대신제3동,주말,26140,"8,213명","8,213"
일,서구,2020,01,서대신제1동,주말,26140,"13,403명","13,403"
일,서구,2020,01,서대신제3동,주말,26140,"8,049명","8,049"
일,서구,2020,01,서대신제4동,주말,26140,"7,282명","7,282"
일,서구,2020,01,부민동,주말,26140,"6,625명","6,625"
일,서구,2020,01,아미동,주말,26140,"8,632명","8,632"
일,서구,2020,01,초장동,주말,26140,"2,871명","2,871"
일,서구,2020,01,충무동,주말,26140,"13,039명","13,039"
일,서구,2020,01,남부민제1동,주말,26140,"5,573명","5,573"
일,서구,2020,01,남부민제2동,주말,26140,"8,590명","8,590"
일,서구,2020,01,암남동,주말,26140,"20,512명","20,512"
일,서구,2020,02,동대신제1동,주말,26140,"7,015명","7,015"
일,서구,2020,02,동대신제2동,주말,26140,"6,742명","6,742"
일,서구,2020,02,동대신제3동,주말,26140,"8,183명","8,183"
일,서구,2020,02,서대신제1동,주말,26140,"13,631명","13,631"
일,서구,2020,02,서대신제3동,주말,26140,"8,252명","8,252"
일,서구,2020,02,서대신제4동,주말,26140,"7,353명","7,353"
일,서구,2020,02,부민동,주말,26140,"6,977명","6,977"
일,서구,2020,02,아미동,주말,26140,"8,689명","8,689"
일,서구,2020,02,초장동,주말,26140,"3,208명","3,208"
일,서구,2020,02,충무동,주말,26140,"12,599명","12,599"
일,서구,2020,02,남부민제1동,주말,26140,"5,666명","5,666"
일,서구,2020,02,남부민제2동,주말,26140,"8,499명","8,499"
일,서구,2020,02,암남동,주말,26140,"19,238명","19,238"
일,서구,2020,03,동대신제1동,주말,26140,"7,171명","7,171"
일,서구,2020,03,동대신제2동,주말,26140,"6,866명","6,866"
일,서구,2020,03,동대신제3동,주말,26140,"8,112명","8,112"
일,서구,2020,03,서대신제1동,주말,26140,"13,761명","13,761"
일,서구,2020,03,서대신제3동,주말,26140,"8,491명","8,491"
일,서구,2020,03,서대신제4동,주말,26140,"7,510명","7,510"
일,서구,2020,03,부민동,주말,26140,"6,791명","6,791"
일,서구,2020,03,아미동,주말,26140,"8,598명","8,598"
일,서구,2020,03,초장동,주말,26140,"3,227명","3,227"
일,서구,2020,03,충무동,주말,26140,"12,550명","12,550"
일,서구,2020,03,남부민제1동,주말,26140,"5,829명","5,829"
일,서구,2020,03,남부민제2동,주말,26140,"8,288명","8,288"
일,서구,2020,03,암남동,주말,26140,"18,610명","18,610"
일,서구,2020,04,동대신제1동,주말,26140,"7,088명","7,088"
일,서구,2020,04,동대신제2동,주말,26140,"6,799명","6,799"
일,서구,2020,04,동대신제3동,주말,26140,"8,929명","8,929"
일,서구,2020,04,서대신제1동,주말,26140,"14,043명","14,043"
일,서구,2020,04,서대신제3동,주말,26140,"8,564명","8,564"
일,서구,2020,04,서대신제4동,주말,26140,"7,448명","7,448"
일,서구,2020,04,부민동,주말,26140,"6,569명","6,569"
일,서구,2020,04,아미동,주말,26140,"8,797명","8,797"
일,서구,2020,04,초장동,주말,26140,"3,027명","3,027"
일,서구,2020,04,충무동,주말,26140,"12,948명","12,948"
일,서구,2020,04,남부민제1동,주말,26140,"5,635명","5,635"
일,서구,2020,04,남부민제2동,주말,26140,"8,333명","8,333"
일,서구,2020,04,암남동,주말,26140,"19,937명","19,937"
일,서구,2020,05,동대신제1동,주말,26140,"6,902명","6,902"
일,서구,2020,05,동대신제2동,주말,26140,"6,785명","6,785"
일,서구,2020,05,동대신제3동,주말,26140,"8,718명","8,718"
일,서구,2020,05,서대신제1동,주말,26140,"13,715명","13,715"
일,서구,2020,05,서대신제3동,주말,26140,"8,470명","8,470"
일,서구,2020,05,서대신제4동,주말,26140,"7,052명","7,052"
일,서구,2020,05,부민동,주말,26140,"7,145명","7,145"
일,서구,2020,05,아미동,주말,26140,"8,613명","8,613"
일,서구,2020,05,초장동,주말,26140,"3,019명","3,019"
일,서구,2020,05,충무동,주말,26140,"12,583명","12,583"
일,서구,2020,05,남부민제1동,주말,26140,"6,139명","6,139"
일,서구,2020,05,남부민제2동,주말,26140,"8,516명","8,516"
일,서구,2020,05,암남동,주말,26140,"19,769명","19,769"
일,서구,2020,06,동대신제1동,주말,26140,"6,989명","6,989"
일,서구,2020,06,동대신제2동,주말,26140,"6,830명","6,830"
일,서구,2020,06,동대신제3동,주말,26140,"8,719명","8,719"
일,서구,2020,06,서대신제1동,주말,26140,"13,676명","13,676"
일,서구,2020,06,서대신제3동,주말,26140,"8,220명","8,220"
일,서구,2020,06,서대신제4동,주말,26140,"6,762명","6,762"
일,서구,2020,06,부민동,주말,26140,"7,089명","7,089"
일,서구,2020,06,아미동,주말,26140,"8,553명","8,553"
일,서구,2020,06,초장동,주말,26140,"2,695명","2,695"
일,서구,2020,06,충무동,주말,26140,"12,549명","12,549"
일,서구,2020,06,남부민제1동,주말,26140,"5,905명","5,905"
일,서구,2020,06,남부민제2동,주말,26140,"8,411명","8,411"
일,서구,2020,06,암남동,주말,26140,"20,863명","20,863"
일,서구,2020,07,동대신제1동,주말,26140,"6,114명","6,114"
일,서구,2020,07,동대신제2동,주말,26140,"6,281명","6,281"
일,서구,2020,07,동대신제3동,주말,26140,"8,357명","8,357"
일,서구,2020,07,서대신제1동,주말,26140,"14,431명","14,431"
일,서구,2020,07,서대신제3동,주말,26140,"7,691명","7,691"
일,서구,2020,07,서대신제4동,주말,26140,"6,285명","6,285"
일,서구,2020,07,부민동,주말,26140,"7,277명","7,277"
일,서구,2020,07,아미동,주말,26140,"8,606명","8,606"
일,서구,2020,07,초장동,주말,26140,"2,784명","2,784"
일,서구,2020,07,충무동,주말,26140,"12,566명","12,566"
일,서구,2020,07,남부민제1동,주말,26140,"6,100명","6,100"
일,서구,2020,07,남부민제2동,주말,26140,"8,335명","8,335"
일,서구,2020,07,암남동,주말,26140,"19,908명","19,908"
일,동구,2020,01,초량1동,주말,26170,"6,410명","6,410"
일,동구,2020,01,초량2동,주말,26170,"9,069명","9,069"
일,동구,2020,01,초량3동,주말,26170,"15,045명","15,045"
일,동구,2020,01,초량6동,주말,26170,"6,378명","6,378"
일,동구,2020,01,수정1동,주말,26170,"4,772명","4,772"
일,동구,2020,01,수정2동,주말,26170,"9,004명","9,004"
일,동구,2020,01,수정4동,주말,26170,"3,287명","3,287"
일,동구,2020,01,수정5동,주말,26170,"4,181명","4,181"
일,동구,2020,01,범일1동,주말,26170,"7,575명","7,575"
일,동구,2020,01,범일2동,주말,26170,"17,464명","17,464"
일,동구,2020,01,범일5동,주말,26170,"4,592명","4,592"
일,동구,2020,02,초량1동,주말,26170,"5,818명","5,818"
일,동구,2020,02,초량2동,주말,26170,"8,956명","8,956"
일,동구,2020,02,초량3동,주말,26170,"14,191명","14,191"
일,동구,2020,02,초량6동,주말,26170,"6,095명","6,095"
일,동구,2020,02,수정1동,주말,26170,"4,865명","4,865"
일,동구,2020,02,수정2동,주말,26170,"8,511명","8,511"
일,동구,2020,02,수정4동,주말,26170,"3,296명","3,296"
일,동구,2020,02,수정5동,주말,26170,"4,138명","4,138"
일,동구,2020,02,범일1동,주말,26170,"7,452명","7,452"
일,동구,2020,02,범일2동,주말,26170,"17,484명","17,484"
일,동구,2020,02,범일5동,주말,26170,"4,853명","4,853"
일,동구,2020,03,초량1동,주말,26170,"5,024명","5,024"
일,동구,2020,03,초량2동,주말,26170,"8,291명","8,291"
일,동구,2020,03,초량3동,주말,26170,"13,133명","13,133"
일,동구,2020,03,초량6동,주말,26170,"6,306명","6,306"
일,동구,2020,03,수정1동,주말,26170,"4,860명","4,860"
일,동구,2020,03,수정2동,주말,26170,"8,103명","8,103"
일,동구,2020,03,수정4동,주말,26170,"3,362명","3,362"
일,동구,2020,03,수정5동,주말,26170,"5,158명","5,158"
일,동구,2020,03,범일1동,주말,26170,"7,098명","7,098"
일,동구,2020,03,범일2동,주말,26170,"15,324명","15,324"
일,동구,2020,03,범일5동,주말,26170,"3,524명","3,524"
일,동구,2020,04,초량1동,주말,26170,"5,244명","5,244"
일,동구,2020,04,초량2동,주말,26170,"8,309명","8,309"
일,동구,2020,04,초량3동,주말,26170,"13,952명","13,952"
일,동구,2020,04,초량6동,주말,26170,"6,259명","6,259"
일,동구,2020,04,수정1동,주말,26170,"4,602명","4,602"
일,동구,2020,04,수정2동,주말,26170,"8,398명","8,398"
일,동구,2020,04,수정4동,주말,26170,"3,288명","3,288"
일,동구,2020,04,수정5동,주말,26170,"5,248명","5,248"
일,동구,2020,04,범일1동,주말,26170,"6,448명","6,448"
일,동구,2020,04,범일2동,주말,26170,"16,137명","16,137"
일,동구,2020,04,범일5동,주말,26170,"3,462명","3,462"
일,동구,2020,05,초량1동,주말,26170,"5,344명","5,344"
일,동구,2020,05,초량2동,주말,26170,"8,785명","8,785"
일,동구,2020,05,초량3동,주말,26170,"14,380명","14,380"
일,동구,2020,05,초량6동,주말,26170,"5,881명","5,881"
일,동구,2020,05,수정1동,주말,26170,"4,258명","4,258"
일,동구,2020,05,수정2동,주말,26170,"9,154명","9,154"
일,동구,2020,05,수정4동,주말,26170,"3,222명","3,222"
일,동구,2020,05,수정5동,주말,26170,"5,694명","5,694"
일,동구,2020,05,범일1동,주말,26170,"6,114명","6,114"
일,동구,2020,05,범일2동,주말,26170,"15,895명","15,895"
일,동구,2020,05,범일5동,주말,26170,"3,388명","3,388"
일,동구,2020,06,초량1동,주말,26170,"5,452명","5,452"
일,동구,2020,06,초량2동,주말,26170,"8,865명","8,865"
일,동구,2020,06,초량3동,주말,26170,"14,435명","14,435"
일,동구,2020,06,초량6동,주말,26170,"5,718명","5,718"
일,동구,2020,06,수정1동,주말,26170,"4,146명","4,146"
일,동구,2020,06,수정2동,주말,26170,"9,479명","9,479"
일,동구,2020,06,수정4동,주말,26170,"3,225명","3,225"
일,동구,2020,06,수정5동,주말,26170,"5,384명","5,384"
일,동구,2020,06,범일1동,주말,26170,"6,485명","6,485"
일,동구,2020,06,범일2동,주말,26170,"16,205명","16,205"
일,동구,2020,06,범일5동,주말,26170,"3,151명","3,151"
